,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
1760,741,3031
1761,744,3125
1762,753,3201
1763,753,3292
1764,689,3241
1765,698,3333
1766,755,3140
1767,737,2909
1768,701,2722
1769,685,2435
1770,672,2260
1771,665,1725
1772,607,1033
1773,582,682
1774,668,829
1775,687,1175
1776,730,1631
1777,785,2004
1778,726,2254
1779,758,2475
1780,719,2665
1781,772,3015
1782,807,3185
1783,776,3178
1784,770,3082
1785,705,3281
1786,787,3303
1787,764,3262
1788,703,3032
1789,761,2868
1790,695,2739
1791,623,2553
1792,681,2130
1793,622,1653
1794,633,1054
1795,609,674
1796,621,779
1797,650,1227
1798,645,1695
1799,730,1965
1800,742,2309
1801,775,2633
1802,739,2820
1803,731,2922
1804,732,3058
1805,713,3323
1806,722,3346
1807,752,3287
1808,747,3317
1809,747,3227
1810,727,3031
1811,749,3006
1812,688,2736
1813,736,2517
1814,704,2179
1815,672,1654
1816,636,1174
1817,669,715
1818,630,1070
1819,670,1479
1820,662,1973
1821,714,2282
1822,718,2573
1823,752,2563
1824,736,2933
1825,804,2977
1826,693,3017
1827,725,3118
1828,765,3115
1829,801,3099
1830,731,2970
1831,765,2747
1832,749,2791
1833,720,2619
1834,695,2497
1835,647,2089
1836,643,1521
1837,655,1028
1838,610,744
1839,659,926
1840,659,1494
1841,666,1795
1842,730,2020
1843,731,2314
1844,749,2589
1845,796,2667
1846,697,2915
1847,733,2868
1848,747,2975
1849,757,3115
1850,725,3025
1851,746,3009
1852,754,2779
1853,759,2618
1854,686,2505
1855,640,2290
1856,691,1889
1857,604,1283
1858,661,955
1859,568,730
1860,659,848
1861,603,1242
1862,741,1650
1863,691,1867
1864,765,2139
1865,780,2466
1866,745,2560
1867,745,2721
1868,732,2921
1869,781,2893
1870,771,2832
1871,731,2859
1872,740,2827
1873,734,2828
1874,729,2687
1875,706,2421
1876,634,2039
1877,627,1730
1878,636,1126
1879,633,831
1880,618,960
1881,643,1334
1882,746,1839
1883,677,2077
1884,689,2225
1885,798,2477
1886,713,2625
1887,703,2719
1888,791,2839
1889,781,2779
