,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
985,3140,1189
986,3248,1173
987,3358,1203
988,3488,1349
989,3604,1291
990,3636,1379
991,3807,1353
992,3891,1351
993,4034,1218
994,3963,1406
995,4031,1391
996,3868,1298
997,3798,1365
998,3729,1343
999,3893,1303
1000,3622,1388
1001,3580,1277
1002,3464,1347
1003,3331,1297
1004,3295,1197
1005,3071,1235
1006,2928,1228
1007,2703,1096
1008,2383,1099
1009,2189,944
1010,2032,951
1011,2315,1016
1012,2504,1059
1013,2560,1181
1014,2847,1190
1015,3259,1233
1016,3321,1232
1017,3424,1210
1018,3537,1341
1019,3660,1308
1020,3655,1322
1021,3710,1363
1022,3816,1431
1023,3782,1377
1024,3710,1314
1025,3739,1369
1026,3771,1390
1027,3637,1404
1028,3720,1396
1029,3688,1249
1030,3375,1334
1031,3471,1205
1032,3391,1243
1033,3141,1181
1034,2988,1211
1035,2862,1056
1036,2555,1075
1037,2291,1005
1038,2098,1031
1039,2189,950
1040,2346,1036
1041,2630,1050
1042,2935,1192
1043,2985,1166
1044,3275,1299
1045,3410,1250
1046,3527,1240
1047,3604,1335
1048,3562,1248
1049,3599,1348
1050,3705,1446
1051,3735,1328
1052,3734,1290
1053,3706,1367
1054,3761,1306
1055,3623,1343
1056,3511,1261
1057,3574,1324
1058,3415,1253
1059,3413,1150
1060,3178,1252
1061,2909,1154
1062,2821,1112
1063,2677,1138
1064,2492,1044
1065,2206,994
1066,2008,989
1067,2321,1024
1068,2587,1034
1069,2746,1051
1070,2998,1176
1071,3154,1261
1072,3190,1143
1073,3311,1238
1074,3299,1341
1075,3448,1375
1076,3604,1361
1077,3472,1299
1078,3664,1242
1079,3535,1331
1080,3573,1358
1081,3646,1282
1082,3500,1281
1083,3619,1310
1084,3532,1256
1085,3489,1249
1086,3354,1185
1087,3068,1229
1088,2832,1178
1089,2953,1091
1090,2626,1106
1091,2331,969
1092,2079,895
1093,2174,938
1094,2376,1087
1095,2594,1087
1096,2764,1091
1097,2977,1227
1098,3182,1114
1099,3264,1286
1100,3297,1259
1101,3380,1192
1102,3326,1255
1103,3403,1365
1104,3463,1248
1105,3528,1215
1106,3435,1309
1107,3416,1434
1108,3374,1231
1109,3360,1269
1110,3356,1221
1111,3272,1232
1112,3018,1173
1113,3119,1241
1114,2830,1099
1115,2652,1072
1116,2544,1118
1117,2126,933
1118,1975,942
1119,2237,1062
1120,2320,1063
1121,2545,1118
1122,2658,1108
1123,2851,1163
1124,3102,1262
1125,3187,1181
1126,3257,1221
1127,3259,1286
1128,3262,1293
1129,3319,1193
1130,3355,1259
1131,3355,1283
1132,3255,1310
1133,3364,1263
1134,3223,1244
1135,3194,1140
1136,3064,1150
1137,3031,1159
1138,3042,1147
1139,2749,1048
1140,2464,1052
1141,2189,940
1142,1957,907
1143,1946,869
1144,2215,959
1145,2369,1004
1146,2459,1080
1147,2647,1096
1148,2787,1217
1149,3015,1217
1150,3060,1313
1151,3070,1270
1152,3122,1261
1153,3206,1238
1154,3155,1243
1155,3016,1246
1156,3225,1234
1157,3022,1214
1158,3137,1237
1159,2940,1224
1160,2875,1202
1161,2831,1193
1162,2517,1051
1163,2356,989
1164,2246,1003
1165,1951,916
1166,1829,921
1167,2094,950
1168,2380,975
1169,2371,1043
1170,2611,1163
1171,2768,1092
1172,2857,1158
1173,2818,1140
1174,2898,1287
1175,2955,1196
1176,3016,1240
1177,2943,1275
1178,3015,1152
1179,3007,1139
1180,2920,1170
1181,2762,1120
1182,2718,1060
1183,2545,973
1184,2484,1023
1185,2179,974
1186,1954,902
1187,1901,926
1188,2033,979
1189,2196,1020
1190,2494,1070
1191,2418,1045
1192,2539,1079
1193,2692,1115
1194,2784,1103
1195,2801,1087
1196,2687,1176
1197,2809,1123
1198,2796,1116
1199,2735,1115
1200,2613,1121
1201,2486,1069
1202,2381,1096
1203,2230,979
1204,2059,995
1205,1886,847
1206,2041,919
1207,2082,935
1208,2177,983
1209,2206,945
1210,2332,1070
1211,2537,1024
1212,2476,1111
1213,2508,1055
1214,2407,1043
1215,2513,1047
1216,2464,983
1217,2376,1020
1218,2211,1011
1219,2168,931
1220,1976,869
1221,2062,949
1222,2108,970
1223,2154,1014
1224,2188,1003
1225,2178,1044
1226,2219,995
1227,2036,980
1228,880,706
1229,908,674
1230,891,698
1231,981,692
1232,892,705
1233,886,648
1234,969,650
1235,995,731
1236,885,637
1237,873,708
1238,841,634
1239,974,657
1240,920,681
1241,967,660
1242,901,688
1243,915,711
1244,902,647
1245,923,615
1246,991,678
1247,849,717
1248,940,620
1249,888,704
1250,905,638
1251,1128,679
1252,1156,675
1253,1090,697
1254,1135,704
1255,1130,655
1256,1009,642
1257,949,708
1258,942,647
1259,970,657
1260,854,649
1261,922,695
1262,982,648
1263,1040,683
1264,1234,710
1265,1291,777
1266,1307,714
1267,1383,750
1268,1315,776
1269,1175,706
1270,1150,713
1271,991,654
1272,1014,631
1273,912,698
1274,866,663
1275,864,627
1276,1006,703
1277,1151,689
1278,1306,722
1279,1418,798
1280,1579,784
1281,1502,798
1282,1412,836
1283,1440,782
1284,1308,779
1285,1075,719
1286,987,695
1287,940,687
1288,907,685
1289,970,668
1290,984,673
1291,1065,702
1292,1288,702
1293,1364,836
1294,1455,836
1295,1553,824
1296,1607,845
1297,1619,797
1298,1431,778
1299,1385,786
1300,1263,820
1301,1039,724
1302,983,660
1303,948,699
1304,931,680
1305,919,708
1306,979,665
1307,1266,720
1308,1356,738
1309,1538,822
1310,1546,851
1311,1696,846
1312,1621,815
1313,1624,900
1314,1598,816
1315,1530,847
1316,1115,802
1317,1090,719
1318,928,707
1319,912,688
1320,846,699
1321,935,691
1322,979,666
1323,1149,661
1324,1379,766
1325,1577,814
1326,1645,806
1327,1629,854
1328,1566,885
1329,1576,894
1330,1612,843
1331,1481,810
1332,1264,832
1333,1096,730
1334,999,633
1335,856,677
1336,891,699
1337,877,629
1338,933,688
1339,999,668
1340,1141,680
1341,1303,784
1342,1499,822
1343,1529,880
1344,1552,845
1345,1663,877
1346,1574,920
1347,1418,876
1348,1326,825
1349,1176,788
1350,1033,732
1351,966,716
1352,870,673
1353,927,696
1354,892,680
1355,985,649
1356,1140,681
1357,1172,732
1358,1406,775
1359,1491,800
1360,1501,811
1361,1517,805
1362,1579,855
1363,1417,871
1364,1299,793
1365,1203,755
1366,1047,722
1367,930,679
1368,956,667
1369,904,584
1370,953,688
1371,972,690
1372,1076,752
1373,1297,714
1374,1297,764
1375,1323,805
1376,1364,822
1377,1471,762
1378,1256,758
1379,1128,739
1380,994,740
1381,985,703
1382,933,728
1383,812,685
1384,926,646
1385,959,627
1386,976,698
1387,1080,693
1388,1247,717
1389,1178,763
1390,1129,794
1391,1230,790
1392,1190,749
1393,1032,720
1394,1055,724
1395,869,714
1396,921,656
1397,900,693
1398,965,704
1399,897,658
1400,995,684
1401,1081,714
1402,992,695
1403,999,695
1404,893,692
1405,979,695
1406,955,695
1407,935,728
1408,852,666
1409,997,678
1410,962,666
1411,1006,659
1412,915,635
1413,898,673
1414,929,658
1415,901,687
1416,868,726
1417,856,633
1418,949,630
1419,876,718
1420,876,631
1421,879,707
1422,936,712
1423,1119,689
1424,1178,729
1425,1253,724
1426,1389,695
1427,1396,781
1428,1459,709
1429,1596,697
1430,1563,722
1431,1359,733
1432,1219,718
1433,1237,694
1434,1217,707
1435,1330,694
1436,1409,781
1437,1585,804
1438,1610,822
1439,1640,827
1440,1623,813
1441,1703,830
1442,1636,818
1443,1582,800
1444,1553,769
1445,1459,829
1446,1295,676
1447,1221,713
1448,1079,750
1449,1255,744
1450,1505,749
1451,1539,744
1452,1803,904
1453,1723,855
1454,1921,911
1455,1965,884
1456,2007,890
1457,2042,899
1458,1923,845
1459,1885,836
1460,1841,835
1461,1802,799
1462,1615,804
1463,1428,775
1464,1303,736
1465,1154,672
1466,1342,725
1467,1515,787
1468,1694,844
1469,1758,834
1470,1934,891
1471,2151,852
1472,2082,936
1473,2065,981
1474,2104,930
1475,2300,951
1476,2080,971
1477,2061,915
1478,1947,933
1479,1868,868
1480,1783,868
1481,1639,838
1482,1378,757
1483,1193,750
1484,1267,734
1485,1429,768
1486,1607,852
1487,1885,853
1488,1988,869
1489,2125,972
1490,2193,982
1491,2242,1002
1492,2271,1005
1493,2312,1070
1494,2274,1018
1495,2263,965
1496,2218,881
1497,2167,969
1498,2211,921
1499,2024,863
1500,1844,897
1501,1649,822
1502,1481,687
1503,1245,698
1504,1233,737
1505,1417,776
1506,1662,848
1507,1865,874
1508,2021,898
1509,2148,959
1510,2243,953
1511,2365,1008
1512,2378,993
1513,2363,1033
1514,2429,934
1515,2413,1038
1516,2463,977
1517,2409,1086
1518,2376,988
1519,2212,979
1520,2111,955
1521,2097,916
1522,1892,850
1523,1587,865
1524,1480,750
1525,1397,747
1526,1676,878
1527,1777,830
1528,2028,918
1529,2215,934
1530,2212,982
1531,2360,1037
1532,2456,1014
1533,2494,1070
1534,2508,1075
1535,2547,1073
1536,2575,1084
1537,2570,1080
1538,2521,1048
1539,2410,959
1540,2413,1029
