,CY3_Intensity,GFP_Intensity,Label
1008,11596,28340,1
1009,11952,28597,1
1010,12141,28848,1
1011,12068,28812,1
1012,12141,29321,1
1013,12141,29611,1
1014,12177,29756,1
1015,12535,29353,1
1016,12535,30152,1
1017,12430,29756,1
1018,12250,29647,1
1019,12753,30115,1
1020,12612,29793,1
1021,12695,30389,1
1022,12830,30373,1
1023,13007,29970,1
1024,12685,30519,1
1025,12576,30264,1
1026,12503,30373,1
1027,12540,30482,1
1028,12503,30264,1
1029,12758,30337,1
1030,13011,30120,1
1031,12390,29824,1
1032,12649,30228,1
1033,12717,29824,1
1034,12358,29793,1
1035,12358,29938,1
1036,12612,29393,1
1037,12358,30120,1
1038,11886,29647,1
1039,12213,29393,1
1040,12172,29897,1
1041,12141,29139,1
1042,12213,29103,1
1043,11592,28844,1
1044,11777,28340,1
1045,11813,28267,1
1046,11710,27799,1
1047,11592,27209,1
1048,10870,27214,1
1049,10979,26706,1
1050,10902,26084,1
1051,10579,26233,1
1052,10144,25689,1
1053,10253,25616,1
1054,9853,24635,1
1055,9962,24563,1
1056,9381,23437,1
1057,9014,23215,1
1058,8511,22311,1
1059,8256,21330,1
1060,8074,20931,1
1061,7199,19183,1
1062,6917,18212,1
1063,6695,17154,1
1064,6387,15744,1
1065,6684,16334,1
1066,6934,16878,1
1067,7232,17357,1
1068,7963,18453,1
1069,7925,19113,1
1070,8364,19989,1
1071,8695,21086,1
1072,9061,21893,1
1073,9759,22628,1
1074,9905,23396,1
1075,10010,24268,1
1076,10120,24233,1
1077,10631,25147,1
1078,10815,25331,1
1079,11038,25591,1
1080,11038,26359,1
1081,11327,26939,1
1082,11071,26756,1
1083,11363,27707,1
1084,11911,27964,1
1085,11985,28548,1
1086,12097,28590,1
1087,12272,28874,1
1088,12317,28883,1
1089,12057,29792,1
1090,12240,29829,1
1091,12203,29097,1
1092,12099,29906,1
1093,12648,30454,1
1094,12094,29939,1
1095,12648,30236,1
1096,12826,30085,1
1097,12867,30163,1
1098,12898,30561,1
1099,12716,30889,1
1100,12899,30560,1
1101,12861,30963,1
1102,13118,30597,1
1103,12862,30670,1
1104,12752,30633,1
1105,12935,31035,1
1106,12935,30890,1
1107,13263,31218,1
1108,12788,30780,1
1109,12716,30451,1
1110,12752,30561,1
1111,12830,30931,1
1112,12716,30780,1
1113,12607,30744,1
1114,12418,30007,1
1115,12575,29906,1
1116,12568,30159,1
1117,12245,30309,1
1118,12459,29867,1
1119,12532,29756,1
1120,11947,29171,1
1121,12204,29024,1
1122,11953,29102,1
1123,11729,28439,1
1124,11769,29028,1
1125,11474,28183,1
1126,11472,27489,1
1127,11403,27786,1
1128,11188,27423,1
1129,10852,27195,1
1130,10852,26684,1
1131,10668,25915,1
1132,10343,25884,1
1133,9863,25110,1
1134,10014,24675,1
1135,9648,24457,1
1136,9714,23678,1
1137,8949,23099,1
1138,8662,22371,1
1139,8113,21166,1
1140,8040,20507,1
1141,7409,19108,1
1142,7087,17833,1
1143,6648,16956,1
1144,6595,16198,1
1145,6773,16958,1
1146,7032,17181,1
1147,7474,17766,1
1148,8119,18957,1
1149,8560,20054,1
1150,8960,20598,1
1151,9324,21652,1
1152,9324,22708,1
1153,9864,22994,1
1154,10056,24057,1
1155,10343,24888,1
1156,10380,25252,1
1157,10634,25614,1
1158,11035,26233,1
1159,10925,26379,1
1160,11288,27142,1
1161,11326,27541,1
1162,11653,27614,1
1163,11976,27500,1
1164,11834,28560,1
1165,11867,28627,1
1166,11943,28850,1
1167,12162,29432,1
1168,12525,28923,1
1169,12416,29395,1
1170,12307,29614,1
1171,12598,30121,1
1172,12599,30157,1
1173,12853,29940,1
1174,12926,30522,1
1175,12853,30231,1
1176,13144,30485,1
1177,12671,30595,1
1178,12961,30304,1
1179,12926,30703,1
1180,13071,31103,1
1181,12998,31213,1
1182,13144,30777,1
1183,13112,30998,1
1184,13217,30812,1
1185,13258,31362,1
1186,13582,31395,1
1187,12925,31539,1
1188,13181,31213,1
1189,13294,31109,1
1190,12890,31031,1
1191,13003,30963,1
1192,12858,31618,1
1193,12780,31468,1
1194,13143,31286,1
1195,12890,30667,1
1196,12857,30818,1
1197,12780,30376,1
1198,12925,30268,1
1199,12561,29760,1
1200,12347,29910,1
1201,12303,29755,1
1202,12380,29213,1
1203,12058,29255,1
1204,11834,29359,1
1205,11867,28737,1
1206,11725,28632,1
1207,11470,28487,1
1208,11075,28017,1
1209,11138,27570,1
1210,10962,26742,1
1211,10784,26891,1
1212,10234,26160,1
1213,10488,26087,1
1214,10229,26155,1
1215,9942,25289,1
1216,9906,24269,1
1217,9396,23651,1
1218,9214,23178,1
1219,8741,22308,1
1220,8450,21508,1
1221,7978,19981,1
1222,7542,19181,1
1223,6814,17945,1
1224,6589,16063,1
1225,6915,16606,1
1226,6989,17043,1
1227,7573,17991,1
1228,7787,18857,1
1229,8439,19437,1
1230,8725,20631,1
1231,9052,21574,1
1232,9239,22412,1
1233,9674,23428,1
1234,9968,24232,1
1235,10219,24590,1
1236,10580,25242,1
1237,10690,25497,1
1238,10798,25894,1
1239,11308,26585,1
1240,11161,27092,1
1241,11379,27709,1
1242,11485,28212,1
1243,11779,28325,1
1244,11629,28756,1
1245,12110,28766,1
1246,11997,28941,1
1247,12001,29274,1
1248,12546,29673,1
1249,12359,29378,1
1250,12509,29527,1
1251,12609,30245,1
1252,12830,30356,1
1253,12717,30407,1
1254,12542,30538,1
1255,12832,30140,1
1256,12948,30566,1
1257,13191,30534,1
1258,13123,31264,1
1259,12794,30793,1
1260,13086,31518,1
1261,13050,31336,1
1262,13339,31410,1
1263,13304,31483,1
1264,13485,31300,1
1265,13191,31550,1
1266,13159,31481,1
1267,13408,31877,1
1268,13407,31151,1
1269,13376,31192,1
1270,12868,31156,1
1271,13123,31592,1
1272,13086,31809,1
1273,13013,31264,1
1274,13045,31587,1
1275,13117,31296,1
1276,13268,31191,1
1277,12830,30756,1
1278,13195,30611,1
1279,12940,30539,1
1280,12541,30503,1
1281,12354,29954,1
1282,12465,29773,1
1283,12287,29885,1
1284,12287,29705,1
1285,12209,29554,1
1286,12283,28938,1
1287,11561,28943,1
1288,11633,28616,1
1289,11447,28357,1
1290,11526,28289,1
1291,11198,27855,1
1292,11229,27414,1
1293,10827,26858,1
1294,10536,26385,1
1295,10254,26113,1
1296,10077,25283,1
1297,9929,24806,1
1298,9855,24153,1
1299,9306,23351,1
1300,9233,22626,1
1301,8657,22268,1
1302,8181,21393,1
1303,7679,19982,1
1304,7574,18681,1
1305,6988,17769,1
1306,6923,16551,1
1307,6885,17098,1
1308,7392,17714,1
1309,8053,17974,1
1310,8308,18995,1
1311,8855,20271,1
1312,8964,21329,1
1313,9365,22350,1
1314,9585,23116,1
1315,9909,23768,1
1316,10204,24247,1
1317,10460,25049,1
1318,10683,25527,1
1319,10788,26180,1
1320,11079,26434,1
1321,11189,26581,1
1322,11376,27424,1
1323,11444,27821,1
1324,12064,28148,1
1325,11700,28549,1
1326,11992,28841,1
1327,12174,29535,1
1328,12142,29320,1
1329,12360,29539,1
1330,12538,30009,1
1331,12283,30045,1
1332,12648,30190,1
1333,12607,30770,1
1334,12761,30997,1
1335,12575,30555,1
1336,12976,30592,1
1337,12799,30706,1
1338,12867,30884,1
1339,12971,31025,1
1340,13232,31285,1
1341,13194,31722,1
1342,13268,31832,1
1343,13414,31759,1
1344,13012,31686,1
1345,13300,31572,1
1346,13377,31795,1
1347,13414,32415,1
1348,13268,32233,1
1349,13414,31613,1
1350,13523,31868,1
1351,13377,32087,1
1352,13418,31545,1
1353,13304,31613,1
1354,13341,31613,1
