,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
1319,1147,714
1320,1082,800
1321,1114,737
1322,982,728
1323,991,665
1324,968,661
1325,929,687
1326,804,645
1327,715,631
1328,698,596
1329,780,656
1330,797,691
1331,891,643
1332,928,731
1333,1042,815
1334,1056,679
1335,1089,717
1336,1118,744
1337,1202,710
1338,1103,671
1339,1103,715
1340,1159,705
1341,1066,704
1342,1062,743
1343,1102,744
1344,1077,667
1345,954,651
1346,846,629
1347,846,650
1348,740,658
1349,725,590
1350,743,658
1351,896,635
1352,941,681
1353,911,603
1354,1050,720
1355,985,666
1356,1169,686
1357,1093,693
1358,1084,707
1359,1140,720
1360,1164,704
1361,1037,721
1362,1188,672
1363,1054,719
1364,1083,674
1365,1002,692
1366,946,686
1367,903,615
1368,790,597
1369,728,621
1370,791,624
1371,841,673
1372,948,683
1373,1037,661
1374,952,708
1375,1011,639
1376,1033,650
1377,1032,703
1378,1028,721
1379,1231,735
1380,1081,651
1381,1106,686
1382,1063,711
1383,1040,690
1384,905,661
1385,890,681
1386,857,628
1387,732,659
1388,705,615
1389,781,619
1390,901,654
1391,979,684
1392,991,661
1393,974,697
1394,1034,722
1395,988,687
1396,1039,737
1397,1123,685
1398,1089,697
1399,1062,712
1400,1150,679
1401,1080,691
1402,959,711
1403,953,682
1404,881,636
1405,753,623
1406,712,589
1407,718,610
1408,760,672
1409,814,632
1410,961,647
1411,1004,677
1412,949,627
1413,981,654
1414,962,699
1415,979,686
1416,1040,709
1417,1053,685
1418,1047,711
1419,906,669
1420,896,704
1421,845,584
1422,791,625
1423,750,559
1424,712,614
1425,819,597
1426,823,631
1427,892,699
1428,837,661
1429,926,652
1430,991,677
1431,1011,708
1432,988,661
1433,932,668
1434,910,682
1435,909,611
1436,891,617
1437,750,633
1438,748,629
1439,764,623
1440,751,654
1441,802,574
1442,853,619
1443,847,646
1444,848,630
1445,873,621
1446,959,654
1447,941,636
1448,951,651
1449,906,621
1450,832,607
1451,715,595
1452,756,598
1453,734,652
1454,737,615
1455,773,628
1456,795,626
1457,865,653
1458,864,641
1459,865,606
1460,769,642
1461,813,616
1462,769,571
1463,820,612
1464,711,628
1465,734,637
1466,768,585
1467,803,617
1468,773,589
1469,738,589
1470,642,675
1471,641,690
1472,646,695
1473,634,676
1474,640,664
1475,646,635
1476,609,662
1477,618,641
1478,672,739
1479,661,721
1480,640,735
1481,685,743
1482,627,751
1483,635,732
1484,602,673
1485,611,650
1486,614,665
1487,609,643
1488,645,796
1489,644,962
1490,622,1025
1491,665,1034
1492,680,1017
1493,640,951
1494,624,900
1495,607,780
1496,615,758
1497,662,695
1498,590,696
1499,634,762
1500,655,953
1501,664,1090
1502,653,1251
1503,647,1278
1504,694,1316
1505,726,1333
1506,656,1332
1507,655,1287
1508,693,1078
1509,661,781
1510,656,698
1511,629,630
1512,621,625
1513,612,701
1514,648,830
1515,650,1099
1516,656,1344
1517,705,1374
1518,658,1504
1519,676,1552
1520,691,1520
1521,665,1533
1522,673,1482
1523,651,1355
1524,607,1090
1525,646,795
1526,648,724
1527,642,702
1528,631,784
1529,645,1091
1530,622,1295
1531,663,1488
1532,701,1578
1533,667,1633
1534,617,1662
1535,677,1709
1536,676,1764
1537,708,1632
1538,692,1424
1539,633,1274
1540,669,1018
1541,640,743
1542,593,681
1543,608,607
1544,613,743
1545,686,882
1546,636,1257
1547,680,1494
1548,680,1612
1549,681,1761
1550,654,1722
1551,654,1963
1552,661,1803
1553,643,1778
1554,698,1758
1555,686,1520
1556,645,1340
1557,679,1059
1558,629,870
1559,606,788
1560,602,701
1561,641,693
1562,641,962
1563,640,1314
1564,652,1551
1565,719,1602
1566,707,1722
1567,654,1755
